ts,event,symbol,detail
1755209625947,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209626759,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209626759,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209627547,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209627547,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209628348,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209628348,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209629147,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209629151,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209630124,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209630125,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209630750,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209630752,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209631550,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209631554,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209632353,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209632355,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209633156,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209633156,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209633957,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209633957,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209634756,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209634756,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209635556,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209635556,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209636358,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209636358,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209637158,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209637158,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209638327,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209638327,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209638795,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209639598,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
